constellation	ra1_hours	dec1_deg	ra2_hours	dec2_deg
Lep	5.220520	-12.94130	5.215527	-16.20550
Lep	5.215527	-16.20550	5.326260	-13.17680
Lib	15.067840	-25.28200	14.847973	-16.04180
Lib	14.847973	-16.04180	15.283447	-9.38290
Lib	15.283447	-9.38290	15.592107	-14.78950
Lib	15.592107	-14.78950	15.617067	-28.13510
Lib	15.617067	-28.13510	15.644267	-29.77780
Lib	14.847973	-16.04180	15.592107	-14.78950
Lup	15.849313	-33.62720	15.662773	-34.41190
Lup	15.662773	-34.41190	15.363433	-36.26140
Lup	15.363433	-36.26140	15.356200	-40.64750
Lup	15.356200	-40.64750	14.975533	-43.13400
Lup	14.975533	-43.13400	14.698820	-47.38820
Lup	14.698820	-47.38820	15.204747	-52.09920
Lup	15.204747	-52.09920	15.308893	-47.87530
Lup	15.308893	-47.87530	15.378020	-44.68960
Lup	15.378020	-44.68960	15.585680	-41.16680
Lup	15.585680	-41.16680	16.002033	-38.39670
Lup	16.002033	-38.39670	16.109873	-36.80230
Lup	15.356200	-40.64750	15.585680	-41.16680
Lyn	6.327053	59.01100	6.954613	58.42280
Lyn	6.954613	58.42280	7.445233	49.21150
Lyn	7.445233	49.21150	8.380587	43.18810
Lyn	8.380587	43.18810	9.010660	41.78290
Lyn	9.010660	41.78290	9.314067	36.80260
Lyn	9.314067	36.80260	9.350920	34.39260
Lyr	18.746213	37.60510	18.739660	39.61270
Lyr	18.739660	39.61270	18.615647	38.78370
Lyr	18.615647	38.78370	18.746213	37.60510
Lyr	18.746213	37.60510	18.908413	36.89860
Lyr	18.908413	36.89860	18.982393	32.68960
Lyr	18.982393	32.68960	18.834667	33.36270
Lyr	18.834667	33.36270	18.746213	37.60510
Men	6.170687	-74.75300	5.531393	-76.34100
Men	5.531393	-76.34100	4.919780	-74.93690
Men	4.919780	-74.93690	5.045280	-71.31430
Mic	20.832800	-33.77970	20.808093	-43.98850
Mic	20.808093	-43.98850	21.346013	-40.80950
Mic	21.346013	-40.80950	21.298967	-32.17250
Mic	21.298967	-32.17250	21.021520	-32.25780
Mic	21.021520	-32.25780	20.832800	-33.77970
Mon	7.687453	-9.55110	8.143233	-2.98380
Mon	8.143233	-2.98380	7.197740	-0.49280
Mon	7.197740	-0.49280	6.480300	-7.03310
Mon	6.480300	-7.03310	6.247593	-6.27480
Mon	7.197740	-0.49280	6.797680	2.41220
Mon	6.797680	2.41220	6.396133	4.59290
Mon	6.396133	4.59290	6.548393	7.33300
Mon	6.548393	7.33300	6.682960	9.89580
Mus	11.760113	-66.72880	12.292853	-67.96070
Mus	12.292853	-67.96070	12.619727	-69.13560
Mus	12.619727	-69.13560	12.771333	-68.10810
Mus	12.771333	-68.10810	13.037853	-71.54890
Mus	13.037853	-71.54890	12.541113	-72.13300
Mus	12.541113	-72.13300	12.619727	-69.13560
Nor	16.108180	-45.17320	16.453067	-47.55480
Nor	16.453067	-47.55480	16.330673	-50.15550
Nor	16.330673	-50.15550	16.053580	-49.22970
Nor	16.053580	-49.22970	16.108180	-45.17320
Oct	14.448673	-83.66790	22.767640	-81.38160
Oct	22.767640	-81.38160	21.691293	-77.39000
Oct	21.691293	-77.39000	14.448673	-83.66790
Oph	17.983773	-9.77360	17.798213	2.70730
Oph	17.798213	2.70730	17.724540	4.56730
Oph	17.724540	4.56730	17.582240	12.56000
Oph	17.582240	12.56000	16.961140	9.37500
Oph	16.961140	9.37500	16.515227	1.98390
Oph	16.515227	1.98390	16.239093	-3.69430
Oph	16.239093	-3.69430	16.305360	-4.69250
Oph	16.305360	-4.69250	16.619313	-10.56710
Oph	16.619313	-10.56710	17.172967	-15.72490
Oph	16.961140	9.37500	16.619313	-10.56710
Oph	16.619313	-10.56710	16.518993	-16.61270
Oph	16.518993	-16.61270	16.450400	-18.45630
Oph	16.450400	-18.45630	16.401720	-20.03730
Oph	16.401720	-20.03730	16.426420	-23.44720
Oph	17.724540	4.56730	17.172967	-15.72490
Oph	17.172967	-15.72490	17.366827	-24.99950
Oph	17.366827	-24.99950	17.455907	-29.86700
Ori	6.126200	14.76850	5.906387	20.27620
Ori	5.906387	20.27620	6.065327	20.13850
Ori	6.065327	20.13850	6.199000	14.20880
Ori	6.199000	14.20880	6.039720	9.64730
Ori	6.039720	9.64730	5.919527	7.40710
Ori	5.919527	7.40710	5.418853	6.34970
Ori	5.418853	6.34970	4.914927	10.15080
Ori	4.975807	1.71400	4.904193	2.44070
Ori	4.904193	2.44070	4.853433	5.60510
Ori	4.853433	5.60510	4.830667	6.96130
Ori	4.830667	6.96130	4.843533	8.90020
Ori	4.843533	8.90020	4.914927	10.15080
Ori	4.914927	10.15080	4.939520	13.51450
Ori	4.939520	13.51450	5.076153	15.40410
Ori	5.076153	15.40410	5.161653	15.59720
Ori	5.242300	-8.20160	5.407947	-2.39710
Ori	5.407947	-2.39710	5.533447	-0.29910
Ori	5.533447	-0.29910	5.418853	6.34970
Ori	5.418853	6.34970	5.585633	9.93420
Ori	5.585633	9.93420	5.919527	7.40710
Ori	5.919527	7.40710	5.679313	-1.94260
Ori	5.679313	-1.94260	5.795940	-9.66960
Ori	5.679313	-1.94260	5.603560	-1.20190
Ori	5.603560	-1.20190	5.533447	-0.29910
Pav	20.427460	-56.73510	20.749307	-66.20320
Pav	20.749307	-66.20320	20.145447	-66.18210
Pav	20.145447	-66.18210	18.870287	-62.18760
Pav	18.870287	-62.18760	18.387120	-61.49390
Pav	18.387120	-61.49390	18.143007	-63.66860
Pav	18.143007	-63.66860	17.762220	-64.72390
Pav	17.762220	-64.72390	18.717260	-71.42810
Pav	18.717260	-71.42810	20.009873	-72.91050
Pav	20.009873	-72.91050	20.749307	-66.20320
Pav	20.749307	-66.20320	21.440727	-65.36620
Peg	22.166460	33.17820	22.716707	30.22120
Peg	22.716707	30.22120	23.062907	28.08280
Peg	23.062907	28.08280	0.139793	29.09040
Peg	0.139793	29.09040	0.220600	15.18360
Peg	0.220600	15.18360	23.079347	15.20530
Peg	23.079347	15.20530	22.778220	12.17290
Peg	22.778220	12.17290	22.691033	10.83140
Peg	22.691033	10.83140	22.169993	6.19790
Peg	22.169993	6.19790	21.736433	9.87500
Peg	23.079347	15.20530	23.062907	28.08280
Peg	23.062907	28.08280	22.833387	24.60160
Peg	22.833387	24.60160	22.775520	23.56570
Peg	22.775520	23.56570	22.116853	25.34510
Peg	22.116853	25.34510	21.744093	25.64500
Per	3.738647	32.28820	3.902200	31.88360
Per	3.902200	31.88360	3.982753	35.79100
Per	3.982753	35.79100	3.964233	40.01020
Per	3.964233	40.01020	3.753233	42.57850
Per	3.753233	42.57850	3.715420	47.78760
Per	3.715420	47.78760	3.608160	48.19260
Per	3.608160	48.19260	3.405380	49.86120
Per	3.405380	49.86120	3.079940	53.50640
Per	3.079940	53.50640	2.844947	55.89550
Per	2.844947	55.89550	2.904293	52.76250
Per	2.904293	52.76250	3.151113	49.61330
Per	3.151113	49.61330	3.158267	44.85750
Per	3.158267	44.85750	3.136147	40.95560
Per	3.136147	40.95560	3.188160	39.61160
Per	3.188160	39.61160	3.086273	38.84030
Per	3.086273	38.84030	2.979353	39.66270
Per	2.979353	39.66270	2.994413	41.03290
Per	2.994413	41.03290	3.136147	40.95560
Per	4.109733	50.35130	4.248293	48.40930
Per	4.248293	48.40930	4.144360	47.71250
Per	4.144360	47.71250	3.715420	47.78760
Per	3.151113	49.61330	2.736660	49.22840
Per	2.736660	49.22840	1.727680	50.68870
Phe	0.438067	-42.30600	1.101400	-46.71840
Phe	1.101400	-46.71840	1.472760	-43.31820
Phe	1.472760	-43.31820	1.520860	-49.07270
Phe	1.520860	-49.07270	1.139747	-55.24580
Phe	1.139747	-55.24580	1.101400	-46.71840
Phe	1.101400	-46.71840	0.156847	-45.74740
Phe	0.156847	-45.74740	0.438067	-42.30600
Pic	6.803180	-61.94140	5.830460	-56.16670
Pic	5.830460	-56.16670	5.788080	-51.06650
Psc	1.229153	24.58370	1.194347	30.08960
Psc	1.194347	30.08960	1.324440	27.26410
Psc	1.324440	27.26410	1.229153	24.58370
Psc	1.229153	24.58370	1.190893	21.03470
Psc	1.190893	21.03470	1.524727	15.34580
Psc	1.524727	15.34580	1.756567	9.15770
Psc	1.756567	9.15770	2.034120	2.76380
Psc	2.034120	2.76380	1.892600	3.18750
Psc	1.892600	3.18750	1.690527	5.48760
Psc	1.690527	5.48760	1.503087	6.14380
Psc	1.503087	6.14380	1.228860	7.57540
Psc	1.228860	7.57540	1.049060	7.89010
Psc	1.049060	7.89010	0.811373	7.58510
Psc	0.811373	7.58510	23.988527	6.86330
